Lat,Long,SCHOOL,ADDRESS,GradeLevel,SchoolType
37.7582658,-122.1633631,BUSINESS & INFORMATION TECHNOLOGY HIGH SCHOOL,8601 MacArthur Blvd,,
37.7582658,-122.1633631,CASTLEMONT COMMUNITY OF SMALL SCHOOLS,8601 MacArthur Boulevard,,
37.7582658,-122.1633631,EAST OAKLAND SCHOOL OF THE ARTS,8601 MacArthur Blvd,,
37.79819382,-122.1615366,SKYLINE HIGH SCHOOL,12250 Skyline Blvd,,
37.81739964,-122.2656142,STREET ACADEMY,417 29th St,,
37.76623115,-122.1544834,"YES, YOUTH EMPOWERMENT SCHOOL",8251 Fontaine St,,
37.81216433,-122.286953,BUNCHE ACADEMY,1240 18th St,,
37.7744163,-122.2097997,COLLEGE PREP & ARCHITECTURE ACADEMY,4610 Foothill Blvd,,
37.79704929,-122.2582923,DEWEY ACADEMY,1111 2nd Avenue,,
37.83674097,-122.2492149,FAR WEST,5263 Broadway Terrace,,
37.7744163,-122.2097997,MANDELA HIGH SCHOOL,4610 Foothill Blvd,,
37.7744163,-122.2097997,MEDIA COLLEGE PREP,4610 Foothill Blvd,,
37.79450501,-122.2583916,MET WEST,314 E 10th St,,
37.83224778,-122.2552634,OAKLAND TECHNICAL HIGH SCHOOL,4351 Broadway,,
37.7744163,-122.2097997,ROBESON SCHOOL OF VISUAL & PERFORMING ARTS,4610 Foothill Blvd,,
37.84578338,-122.2509841,CLAREMONT MIDDLE SCHOOL,5750 College Ave,,
37.80169778,-122.2695388,LIGHTHOUSE COMMUNITY CHARTER SCHOOL (K-4 & 6-8),345 12th St. at Webster,,
37.80825814,-122.2824156,KIPP BRIDGE COLLEGE PREPARATORY,991 14th Street,,
37.80825814,-122.2824156,WEST OAKLAND MIDDLE SCHOOL,991 14TH Street,,
37.79365329,-122.1993033,AMERICAN INDIAN PUBLIC CHARTER SCHOOL (5-8),3637 Magee Ave,,
37.79411268,-122.1997005,AMERICAN INDIAN PUBLIC HIGH SCHOOL (9-10),3626-3628 35th Ave,,
37.78852346,-122.2048904,ALLENDALE ELEMENTARY,3670 Penniman Ave,,
37.795943,-122.2138589,FRUITVALE ELEMENTARY,3200 Boston Ave,,
37.76492935,-122.1950031,GREENLEAF ELEMENTARY,6328 East 17th Street,,
37.76492935,-122.1950031,WHITTIER ELEMENTARY,6328 E 17th St,,
